,CD116FP,type,filetype,description,district_map_url
0,01,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist1/m1.pdf
1,02,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist2/m1.pdf
2,03,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist3/m1.pdf
3,04,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist4/m1.pdf
4,05,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist5/m1.pdf
5,06,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist6/m1.pdf
6,07,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist7/m1.pdf
7,08,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist8/m1.pdf
8,09,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist9/m1.pdf
9,10,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist10/m1.pdf
10,11,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist11/m1.pdf
11,12,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist12/m1.pdf
12,13,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist13/m1.pdf
13,14,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist14/m1.pdf
14,15,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist15/m1.pdf
15,16,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist16/m1.pdf
16,17,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist17/m1.pdf
17,18,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist18/m1.pdf
18,19,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist19/m1.pdf
19,20,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist20/m1.pdf
20,21,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist21/m1.pdf
21,22,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist22/m1.pdf
22,23,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist23/m1.pdf
23,24,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist24/m1.pdf
24,25,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist25/m1.pdf
25,26,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist26/m1.pdf
26,27,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist27/m1.pdf
27,28,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist28/m1.pdf
28,29,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist29/m1.pdf
29,30,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist30/m1.pdf
30,31,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist31/m1.pdf
31,32,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist32/m1.pdf
32,33,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist33/m1.pdf
33,34,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist34/m1.pdf
34,35,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist35/m1.pdf
35,36,map,.pdf,District Map from https://redistricting.capitol.texas.gov,https://wrm.capitol.texas.gov/fyiwebdocs/PDF/congress/dist36/m1.pdf
